id,name,receptor,receptor_highlight,receptor_desc,adhesion,other,other_desc,transporter,secreted_highlight,secreted_desc
3584,Q6X784,False,False,,False,False,,False,False,
3585,O60706,True,False,,False,False,,True,False,
3588,Q16570,True,True,Artipical_chemokine_receptor_add,False,False,,False,False,
3592,Q13444,False,False,,True,False,,False,False,
3593,Q99965,False,False,,True,False,,False,False,
3594,Q9P0K1,True,False,,True,False,,False,False,
3595,Q86SQ6,True,False,,False,False,,False,False,
3596,Q8IWK6,True,False,,False,False,,False,False,
3597,Q7Z7M1,True,False,,False,False,,False,False,
3598,Q8IZF7,True,False,,False,False,,False,False,
3599,Q8IZF5,True,False,,False,False,,False,False,
3600,Q8IZF3,True,False,,False,False,,False,False,
3601,Q8IZF6,True,False,,False,False,,False,False,
3602,Q96K78,True,False,,False,False,,False,False,
3603,O95490,True,False,,False,False,,False,False,
3604,Q9UKV5,True,False,,False,False,,False,False,
3605,Q16671,True,False,,False,False,,False,False,
3606,Q86WK7,False,False,,True,False,,False,False,
3607,P05067,False,False,,True,False,,False,False,
3608,P07307,True,False,,False,False,,False,False,
3610,O75787,True,False,,False,False,,False,False,
3611,P50895,True,False,,True,False,,False,False,
3613,Q7Z6A9,True,False,,False,False,,False,False,
3614,Q7KYR7,False,False,,False,True,Possible_receptor,False,False,
3615,Q8WVV5,False,False,,False,True,Possible_receptor,False,False,
3616,Q9UIR0,False,False,,False,True,Possible_receptor,False,False,
3617,Q6UXE8,False,False,,False,True,Possible_receptor,False,False,
3618,Q6UX41,False,False,,False,True,Possible_receptor,False,False,
3619,Q6UXG8,False,False,,False,True,Possible_receptor,False,False,
3620,Q8NFZ8,False,False,,True,False,,False,False,
3621,Q93033,False,False,,False,True,Immune_related,False,False,
3622,P48509,False,False,,False,False,,False,False,
3623,Q6UWJ8,False,False,,False,False,,False,False,
3624,P15391,False,False,,False,True,Ligand,False,False,
3625,P15812,False,False,,False,True,Adaptor,False,False,
3626,Q6Q8B3,True,False,,False,False,,False,False,
3627,Q9UJ71,False,False,,False,False,,False,False,
3629,P26842,True,True,Cytokine_receptor_add,False,False,,False,False,
3630,Q5ZPR3,False,False,,False,True,Possible_receptor,False,False,
3631,P10747,False,False,,False,True,Adaptor,False,False,
3632,Q8IX05,True,False,,False,False,,False,False,
3633,Q9NPF0,False,False,,False,False,,False,False,
3634,P28906,False,False,,True,False,,False,False,
3635,P28907,True,False,,False,False,,False,False,
3636,P04234,True,False,,False,False,,False,False,
3638,P15529,True,False,,False,False,,False,False,
3639,P09564,True,False,,False,False,,False,False,
3640,P33681,True,False,,False,False,,False,False,
3642,P27701,False,False,,False,False,,False,False,
3643,Q9NPY3,True,False,,True,False,,False,False,
3644,P14209,False,False,,True,False,,False,False,
3645,A6H8M9,False,False,,True,False,,False,False,
3646,Q8IUN9,False,False,,False,False,,False,False,
3647,Q86T13,False,False,,False,False,,False,False,
3648,Q6ZS10,True,False,,False,False,,False,False,
3649,Q8NC01,False,False,,False,False,,False,False,
3650,Q9P126,True,False,,False,False,,False,False,
3651,Q92478,False,False,,False,False,,False,False,
3652,P0C7M8,False,False,,False,False,,False,False,
3653,Q9UMR7,False,False,,False,False,,False,False,
3654,Q8WTT0,False,False,,False,False,,False,False,
3655,Q8WXI8,False,False,,False,False,,False,False,
3656,Q9ULY5,False,False,,False,False,,False,False,
3657,Q8N1N0,True,False,,False,False,,False,False,
3658,Q6EIG7,False,False,,False,False,,False,False,
3659,Q6UXN8,True,False,,False,False,,False,False,
3662,Q96NU0,False,False,,True,False,,False,False,
3663,Q8WYK1,False,False,,True,False,,False,False,
3664,Q5KU26,True,False,,False,False,,False,False,
3665,P17927,True,False,,False,False,,False,False,
3666,P20023,True,False,,False,False,,False,False,
3667,O95727,False,False,,False,True,Possible_receptor,False,False,
3669,Q86UP6,False,False,,True,False,,False,False,
3671,Q6V1P9,False,False,,True,False,,False,False,
3672,Q5T197,False,False,,False,False,,False,False,
3673,Q5T1A1,False,False,,False,False,,False,False,
3674,P98153,True,False,,True,False,,False,False,
3677,Q9HAV5,True,True,TNF_receptor_add,False,False,,False,False,
3678,Q9UNE0,True,True,TNF_receptor_add,False,False,,False,False,
3679,P52799,True,False,,False,False,,False,False,
3680,Q15768,True,False,,False,False,,False,False,
3681,P17813,False,False,,True,True,Migration,False,False,
3682,A6NFU0,False,False,,False,False,,False,False,
3683,Q8TDW7,False,False,,True,False,,False,False,
3685,Q8N441,True,False,,False,False,,False,False,
3686,P36888,True,True,Cytokine_receptor,False,False,,False,False,
3687,Q6UXV0,True,False,,False,False,,False,False,
3690,P40197,False,False,,True,False,,False,False,
3691,P14770,False,False,,True,False,,False,False,
3692,Q99795,False,False,,False,True,Ligand,False,False,
3693,Q96D42,True,False,,False,False,,False,False,
3694,Q8TDQ0,False,False,,False,True,Immune_related,False,False,
3696,Q14CZ8,False,False,,True,False,,False,False,
3697,A8MVW5,False,False,,False,False,,False,False,
3699,P01892,False,False,,False,True,HLA,False,False,
3700,P04439,False,False,,False,True,HLA,False,False,
3701,P30443,False,False,,False,True,HLA,False,False,
3702,P01891,False,False,,False,True,HLA,False,False,
3703,P05534,False,False,,False,True,HLA,False,False,
3704,P10314,False,False,,False,True,HLA,False,False,
3705,P10316,False,False,,False,True,HLA,False,False,
3706,P13746,False,False,,False,True,HLA,False,False,
3707,P16188,False,False,,False,True,HLA,False,False,
3708,P16189,False,False,,False,True,HLA,False,False,
3709,P16190,False,False,,False,True,HLA,False,False,
3710,P18462,False,False,,False,True,HLA,False,False,
3711,P30447,False,False,,False,True,HLA,False,False,
3712,P30450,False,False,,False,True,HLA,False,False,
3713,P30453,False,False,,False,True,HLA,False,False,
3714,P30455,False,False,,False,True,HLA,False,False,
3715,P30456,False,False,,False,True,HLA,False,False,
3716,P30457,False,False,,False,True,HLA,False,False,
3717,P30459,False,False,,False,True,HLA,False,False,
3718,P30512,False,False,,False,True,HLA,False,False,
3719,Q09160,False,False,,False,True,HLA,False,False,
3720,P01889,False,False,,False,True,HLA,False,False,
3721,P03989,False,False,,False,True,HLA,False,False,
3722,P10319,False,False,,False,True,HLA,False,False,
3723,P18463,False,False,,False,True,HLA,False,False,
3724,P18464,False,False,,False,True,HLA,False,False,
3725,P18465,False,False,,False,True,HLA,False,False,
3726,P30460,False,False,,False,True,HLA,False,False,
3727,P30461,False,False,,False,True,HLA,False,False,
3728,P30462,False,False,,False,True,HLA,False,False,
3729,P30464,False,False,,False,True,HLA,False,False,
3730,P30466,False,False,,False,True,HLA,False,False,
3731,P30475,False,False,,False,True,HLA,False,False,
3732,P30479,False,False,,False,True,HLA,False,False,
3733,P30480,False,False,,False,True,HLA,False,False,
3734,P30481,False,False,,False,True,HLA,False,False,
